t,Epo_EpoR_i_Obs,dEpo_i_Obs
0,1.00628353062631,0.81749915046243
30,301.551753496356,5.04381209817952
60,405.20752701843,16.3144792092685
90,NaN,43.2507870516794
95,351.255566904095,NaN
150,423.515729656942,59.3651595306183
200,385.051896458451,103.368021516448
250,246.705125355589,127.891494204151
300,335.04758339994,87.7266247166523
350,223.198015260261,NaN
400,NaN,186.468825426873
450,138.23865312174,NaN
500,82.4669978306458,136.678463130229
600,32.443808187388,219.114352267188
750,13.01301434607,207.532617869989
