t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.96518151210919,0.904706983121225,0.149402269738186
0.09,NaN,NaN,0.851733885695965
0.15,0.186253312830959,NaN,NaN
0.2,NaN,0.820542945841903,0.917472637201868
0.3,NaN,NaN,1.01949544854406
0.35,0.246423338524599,NaN,NaN
0.4,NaN,0.905103142527894,0.982556201749743
0.55,0.350083438525086,NaN,1.14171041721153
0.6,NaN,1.00761153496852,NaN
0.7,NaN,NaN,1.00345067045796
0.75,0.455459043045489,NaN,NaN
0.85,NaN,0.848803245033422,NaN
0.9,NaN,NaN,0.887113688997
0.95,0.43067200782855,NaN,NaN
1,0.371793403518733,0.97001547569088,NaN
1.5,0.4553821130886,0.863585673596512,NaN
2,0.521464808756596,0.999064259080719,NaN
2.5,0.519729202422052,NaN,NaN
3,0.511558871442008,NaN,NaN
3.5,0.46807826883298,NaN,NaN
