t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.995241322171423,0.955061181499814,-0.047292319268504
0.08,NaN,NaN,0.963803284987848
0.15,NaN,NaN,1.02023452170739
0.2,0.183716529303011,NaN,NaN
0.25,NaN,0.94596559677192,1.00243388790632
0.35,NaN,NaN,0.983822475853532
0.4,0.366703558087988,NaN,NaN
0.45,NaN,0.795304677809597,1.03083774494787
0.55,NaN,NaN,0.941792718010619
0.6,0.498878837583019,NaN,NaN
0.7,NaN,NaN,0.98708097730915
0.75,NaN,0.825246127354661,NaN
0.8,0.41866706213615,NaN,NaN
0.9,NaN,NaN,1.18695516008006
1,0.452514644588484,0.908180644593404,NaN
1.5,0.506760370071321,0.867461699779273,NaN
2,0.498306991464056,0.924725412610868,NaN
2.5,0.551930490393482,NaN,NaN
3,0.560252616693731,NaN,NaN
3.5,0.520588478293101,NaN,NaN
