t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.964469037812957,1.15435214363964,-0.0099487229965475
0.065,NaN,NaN,0.959675881501352
0.15,NaN,NaN,1.15831618410167
0.2,NaN,NaN,1.08893600286659
0.3,0.309402174944017,NaN,1.01360795935926
0.35,NaN,NaN,0.993424167966095
0.4,NaN,0.831717543930483,NaN
0.45,NaN,NaN,1.05572383834717
0.6,0.330897150667441,NaN,0.845176387261092
0.7,NaN,NaN,0.964753035425362
0.8,NaN,0.828835546242078,NaN
0.85,NaN,NaN,1.0987146384132
0.9,0.470267235500801,NaN,NaN
1,0.362964171804459,0.908799634128312,NaN
1.5,0.539055006893521,0.845087412414833,NaN
2,0.518443953515446,NaN,NaN
2.5,0.441087781279047,0.907645150723053,NaN
3,0.483732140919361,0.978639359014511,NaN
3.5,NaN,0.913725958725123,NaN
4,0.494177418881216,NaN,NaN
5,0.532881554880043,NaN,NaN
