t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.04540772753617,1.03298348467613,0.0550134080196213
0.095,NaN,NaN,1.09214394114649
0.2,0.282796163247045,0.982172419553197,0.919569796328224
0.3,NaN,NaN,1.09832932656689
0.35,NaN,0.984816094934402,NaN
0.4,NaN,NaN,1.13990859159335
0.45,0.498898764418351,NaN,NaN
0.55,NaN,0.956937129026248,1.07198371158511
0.65,0.518489796982532,NaN,NaN
0.7,NaN,NaN,1.1115109647246
0.8,NaN,0.961896224739856,NaN
0.85,NaN,NaN,0.865277652032336
0.9,0.537406972777865,NaN,NaN
1,0.544475173068317,0.915958602060384,1.09421418821109
1.5,0.581986722457831,1.14684564685255,NaN
2,0.631118976559369,0.942255046049984,NaN
2.5,0.615019121300973,1.08491659059567,NaN
3,0.666618271534367,0.982667006127685,NaN
4,0.647229400799947,NaN,NaN
