t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.02917974344713,0.960244620735884,-0.0844024415021423
0.1,NaN,NaN,1.03321054711068
0.2,NaN,NaN,0.918831736480052
0.3,0.388979279865935,NaN,1.03828719021892
0.4,NaN,0.713243826908063,NaN
0.45,NaN,NaN,1.04598711675109
0.6,NaN,NaN,0.925709428481708
0.65,0.589403213371845,NaN,NaN
0.75,NaN,NaN,1.08640250214964
0.8,NaN,0.655574590354732,NaN
0.95,NaN,NaN,0.920143489668016
1,0.488343107645127,0.664317871479185,1.14179148505255
1.5,0.459030990121691,0.741525837582592,NaN
2,0.59874826689418,NaN,NaN
2.5,0.588131273645034,0.71538513449943,NaN
3,0.597068541129777,0.701471371163878,NaN
3.5,0.478910823774524,0.61323727228628,NaN
4,0.550930475310849,NaN,NaN
5,0.507416727391673,NaN,NaN
