t,IR_Obs,IRp_Obs,IRiP_Obs,IRS_Obs,IRSiP_Obs,XX_Obs
0,10.0732304643807,-1.40679290640865e-08,-7.84827076871296e-06,10.7188654280473,0.214402016471342,10.17599810032
2,NaN,NaN,NaN,6.19241887383155,NaN,NaN
2.5,NaN,NaN,NaN,NaN,3.97855239741617,NaN
3,NaN,1.79372630819328e-06,NaN,NaN,NaN,NaN
3.5,0.260358347757601,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,0.000285772072830453,6.95848126872267,NaN,10.0916408286407
5,NaN,NaN,NaN,NaN,2.83318945972997,NaN
6,NaN,1.43080579445882e-06,NaN,7.30144663404257,NaN,NaN
7,0.229281189591245,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,0.000209890584552959,7.88454281073239,2.17303436912688,10.0369089640466
9.5,NaN,1.09242005052489e-06,NaN,NaN,NaN,NaN
10,0.225530108306696,NaN,NaN,7.99815808561741,2.36750467115376,9.79205182700861
15,-0.0163498585874204,6.95787571819297e-07,0.000166449501961258,8.39632734347571,1.83373143029332,9.92204929875186
20,-0.0314799570740097,6.0091816597964e-07,0.00015229356602665,8.45230984658658,1.82934682899181,10.3477608491317
25,NaN,5.71352431825037e-07,0.000142765361459651,8.23233933314194,1.83000950305247,NaN
30,-0.0372146851384898,NaN,0.00013092473864267,7.93766976965669,1.72590521880544,10.4673983866445
35,NaN,5.1411092899069e-07,NaN,NaN,NaN,11.595592123144
40,NaN,4.48443435555247e-07,0.000130239008742283,NaN,1.56942800578887,9.57585294009543
50,NaN,3.58935851188533e-07,NaN,NaN,NaN,9.91331150603751
60,NaN,NaN,NaN,NaN,NaN,9.96480290286659
70,NaN,NaN,NaN,NaN,NaN,9.55357747137856
