t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,-0.00376037320148245,0.996610979745988,-9.01182810520637e-09,-0.112447168491654
0.08,NaN,0.111000035896403,NaN,NaN
0.1,0.026997986105745,NaN,NaN,NaN
0.15,NaN,0.000277811062731429,2.41446349253287e-07,NaN
0.2,NaN,NaN,NaN,0.0787293379276575
0.25,0.0288048226411287,-0.0240699928353496,NaN,NaN
0.35,0.0176066395122123,0.0128201606137796,1.4670521214035e-07,NaN
0.4,NaN,NaN,NaN,0.445522832916642
0.5,0.0200068963936149,0.0164142039952286,1.30822980155248e-07,NaN
0.6,NaN,-0.0148678967443839,NaN,0.311792906044874
0.65,0.0253816114253338,NaN,NaN,NaN
0.7,NaN,NaN,8.24674101961007e-08,NaN
0.75,NaN,0.0331709600894689,NaN,NaN
0.8,0.0104061193464852,NaN,NaN,NaN
0.85,NaN,NaN,NaN,0.381990672272918
0.9,NaN,NaN,6.07970239842617e-08,NaN
0.95,0.022115730748315,0.024004345472122,NaN,NaN
1,0.020560810759398,NaN,3.70408617991306e-08,0.416520019079252
1.5,0.0104529590441029,NaN,5.28531581490915e-11,0.431792677726468
2,0.0200146473524203,NaN,-8.80899646629651e-09,0.450649147081961
2.5,NaN,NaN,3.27279258119793e-08,NaN
