t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,0.0119795058888591,0.98513350332458,-2.45560507943093e-09,-0.0248671356472893
0.095,NaN,0.0358755548495948,NaN,NaN
0.2,NaN,0.0208120028207874,NaN,0.109247640530721
0.25,0.0714084823619373,NaN,NaN,NaN
0.3,NaN,-0.0262114047554257,1.44693197150683e-07,NaN
0.4,NaN,-0.0241363183609021,NaN,NaN
0.45,0.0362516261659641,NaN,NaN,0.1787843602772
0.55,NaN,0.0192250550046353,NaN,NaN
0.6,NaN,NaN,7.19493320941994e-08,NaN
0.7,NaN,NaN,NaN,0.241558782638375
0.75,0.0352327861246554,-0.00713455898002149,NaN,NaN
0.9,NaN,0.0255817792431933,NaN,NaN
0.95,NaN,NaN,5.06273106793359e-08,NaN
1,0.0341577987494821,NaN,NaN,0.269949996093287
1.5,0.0465210419370054,NaN,9.61415544732943e-09,0.24601804647134
2,0.033958479899061,NaN,8.81923223196389e-09,0.274280070523068
2.5,NaN,NaN,9.07695762736328e-10,NaN
3,0.0364906173650789,NaN,NaN,NaN
3.5,0.0346567589557098,NaN,-7.08630842357392e-09,NaN
4,NaN,NaN,-3.23371320911575e-09,NaN
5,NaN,NaN,-1.76634063320579e-09,NaN
