t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,-0.000116437197142652,0.974938137391615,-3.03266842015767e-09,0.033262082647322
0.07,NaN,0.20273900156726,NaN,NaN
0.095,NaN,NaN,NaN,0.114608014914143
0.15,0.00107440693386675,-0.00314174796017719,NaN,NaN
0.2,NaN,0.0294706442083674,NaN,0.261590789061759
0.25,0.0011369066246679,NaN,2.11003514788555e-07,NaN
0.3,NaN,-0.00510155128326007,NaN,0.513531500899669
0.4,0.000770808990164799,0.03166499441514,NaN,0.622789653201625
0.45,NaN,NaN,1.35197690257282e-07,NaN
0.5,NaN,2.47888883867989e-05,NaN,NaN
0.55,0.000486877148969944,NaN,NaN,0.604809800120047
0.6,NaN,0.00967308653257988,NaN,NaN
0.7,NaN,0.0144353172621494,1.0527598616334e-07,0.847093954125313
0.75,0.00044884618386214,NaN,NaN,NaN
0.85,NaN,-0.0170656025967256,NaN,0.800034153578325
0.95,0.000666765035747595,NaN,4.53158747474095e-08,NaN
1,0.000564378201477308,NaN,NaN,0.597995683348215
1.5,0.000502778118079811,NaN,2.12623486557648e-08,NaN
2,0.000732391731958155,NaN,-1.28573014776372e-09,NaN
2.5,NaN,NaN,-2.11611321965016e-09,NaN
3,NaN,NaN,2.8537430866744e-09,NaN
3.5,NaN,NaN,-7.49349805332742e-09,NaN
4,NaN,NaN,-5.57531398165706e-09,NaN
