t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,0.00434216630373106,0.971909580748198,4.43250045377223e-09,0.0898020010312386
0.075,NaN,0.574586467961013,NaN,NaN
0.15,NaN,0.295069798072888,5.7218952787634e-07,NaN
0.2,NaN,NaN,NaN,0.126978935284212
0.25,0.0272096077526431,0.116230804746492,NaN,NaN
0.35,NaN,0.0652455057771063,5.81327863835414e-07,NaN
0.45,0.0302066652568591,0.0458821768316683,NaN,0.240862305954869
0.5,NaN,NaN,3.90327440605759e-07,NaN
0.55,NaN,-0.0789669903965963,NaN,NaN
0.7,0.0166987524667356,-0.0254712389988115,2.80777897316443e-07,0.343712128041385
0.9,NaN,-0.0388568806952874,1.69239589122583e-07,NaN
0.95,NaN,NaN,NaN,0.390330515034588
1,0.0131459979793402,NaN,1.88052360611123e-07,NaN
1.5,0.0188013587049167,NaN,4.14476620643631e-08,0.379639456078183
2,0.0218135580254742,NaN,-1.12252812817642e-08,NaN
2.5,0.0171538798026622,NaN,5.67234307766587e-08,NaN
3,0.0214758002107781,NaN,2.86385345281328e-08,NaN
3.5,0.0200741795204299,NaN,-2.82057011858537e-08,NaN
4.5,0.0201762669630753,NaN,NaN,NaN
