t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,-0.00623871569408219,0.988658174263667,-2.24712768049964e-09,-0.00938159156559319
0.1,NaN,0.226535281876489,NaN,NaN
0.15,0.0263180870430502,NaN,NaN,NaN
0.2,NaN,0.100915737983801,NaN,0.158993502880741
0.3,0.0243558879961719,0.0172963383133409,3.52659485705712e-07,NaN
0.4,NaN,NaN,NaN,0.335532251132674
0.45,0.0186258189508314,-0.0354581241516016,NaN,NaN
0.55,NaN,0.047291751814615,2.12440997978047e-07,NaN
0.6,0.0156912995381526,NaN,NaN,NaN
0.65,NaN,NaN,NaN,0.359674595467739
0.7,NaN,-0.00656724059925058,NaN,NaN
0.8,0.0141002398408255,NaN,NaN,NaN
0.85,NaN,NaN,1.23880583702951e-07,NaN
0.9,NaN,0.0502767954635985,NaN,0.458467788037594
1,0.0217902167316181,0.0545022277681421,6.57725856361281e-08,0.422190397462384
1.5,0.0170706894122477,NaN,2.71666138481556e-08,0.398730556667008
2,0.0176159599629992,NaN,-4.50636777382459e-09,0.458946073130894
2.5,0.0219091035185077,NaN,2.94023309991918e-09,NaN
3,NaN,NaN,5.07694920968392e-09,NaN
3.5,NaN,NaN,3.49255222134898e-09,NaN
4.5,NaN,NaN,-1.4669170810144e-08,NaN
