t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,-8.78310013254593e-06,1.0217525125599,-2.45139957318617e-10,-0.00338476144327392
0.08,NaN,0.0922570591989592,NaN,NaN
0.1,NaN,NaN,NaN,0.269268210572788
0.15,0.000128122410667991,0.00162296886372178,NaN,NaN
0.25,8.21654783885228e-05,-0.0337118687449975,NaN,0.532599465295308
0.3,NaN,NaN,1.97683153045406e-07,NaN
0.35,NaN,0.0154303581148627,NaN,NaN
0.4,4.7804088257654e-05,NaN,NaN,0.475757630020079
0.45,NaN,-0.000854339499858499,NaN,NaN
0.55,6.6954525840712e-05,NaN,1.11881705391177e-07,0.676457515121605
0.6,NaN,-0.0220207562522271,NaN,NaN
0.7,NaN,NaN,NaN,0.700884237782341
0.75,5.76737112812748e-05,0.0385211233428146,NaN,NaN
0.85,NaN,NaN,6.57412135058392e-08,NaN
0.9,NaN,NaN,NaN,0.888419211357087
0.95,3.60319547429054e-05,0.0306543938126692,NaN,NaN
1,4.81045520023961e-05,NaN,4.31337782523513e-08,0.915398012877715
1.5,5.18802744651461e-05,NaN,1.96877104922947e-08,NaN
2,4.3550594455256e-05,NaN,1.15267632813829e-08,NaN
2.5,NaN,NaN,1.81842528941802e-09,NaN
3,NaN,NaN,-3.59806714705969e-09,NaN
3.5,NaN,NaN,9.00851851367179e-10,NaN
4,NaN,NaN,1.56044253993075e-09,NaN
5,NaN,NaN,1.62172079821589e-09,NaN
