t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_I2_Obs
0,-0.0146312160868102,1.03372185795906,3.68148076991509e-09,0.00197125127597595
0.08,NaN,0.0398063316666215,NaN,NaN
0.15,0.11242823896131,0.0187320508466041,NaN,NaN
0.2,NaN,NaN,NaN,0.0582963765964321
0.25,0.0808642235760838,0.0308380982899962,NaN,NaN
0.3,NaN,NaN,1.21284782385985e-07,NaN
0.35,NaN,-0.00989533148886962,NaN,NaN
0.4,0.065957302774664,NaN,NaN,NaN
0.45,NaN,0.00655915471464149,NaN,0.0779510985153479
0.55,0.0819573801126046,NaN,7.44688504615682e-08,NaN
0.6,NaN,-0.00976945345397051,NaN,NaN
0.7,0.0860559780364814,NaN,NaN,0.0967428451423935
0.75,NaN,0.0115226124038618,NaN,NaN
0.85,NaN,NaN,3.61413500622701e-08,NaN
0.9,0.0555185625740506,0.00990184491330522,NaN,NaN
1,0.0765588858605164,NaN,2.34920978079919e-08,0.124304690515993
1.5,0.0714698186822868,NaN,1.81734617578493e-08,0.0944982947400019
2,0.0621565792806472,NaN,-9.0945455703216e-10,NaN
2.5,NaN,NaN,-1.62995685174506e-09,NaN
3,NaN,NaN,8.40983115885537e-09,NaN
3.5,NaN,NaN,2.97823049909748e-09,NaN
4.5,NaN,NaN,-8.5598659036594e-10,NaN
