t,Rec_i_Obs,Rec_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,346.75186134915,0.65880620121018,3.67774841714831,177.426487210306,251.22250195081
4,NaN,1.44507790158618,2.35629657687428,NaN,NaN
6,NaN,NaN,NaN,197.389890522581,NaN
6.5,309.338024742144,NaN,NaN,NaN,306.318077073421
8,NaN,2.30955070420187,1.83775225289009,NaN,NaN
10,NaN,NaN,5.70149247221885,NaN,NaN
15,218.49749095445,0.205268847958925,3.69065028002716,386.177121640896,217.428789150191
20,315.057686165803,NaN,NaN,95.6390281776496,268.134106681834
25,NaN,1.2599097458637,4.12497894822803,NaN,NaN
30,-6.26583683750044,1.41323645595974,4.47386342376391,220.261792811644,293.323481841263
35,NaN,0.887055506031424,4.32242930102826,NaN,NaN
40,295.509580075332,NaN,NaN,238.15912387284,345.938557102335
45,NaN,1.28085353277582,0.376430876161467,NaN,NaN
50,191.54613029317,NaN,NaN,158.298318701813,315.298586193991
55,NaN,1.35287388451096,NaN,NaN,NaN
60,NaN,NaN,NaN,163.636019736108,NaN
65,76.586397285529,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,530.790496383848
80,60.0484262668239,NaN,NaN,168.686247577426,NaN
