t,Compound_5_Obs,Compound_6_Obs
0,171.173082886004,131.871350292223
10,178.205568195773,NaN
15,NaN,214.706890108428
25,11.0953345817863,-316.927899621207
35,166.266095994592,NaN
40,NaN,367.018111224496
50,211.642402667562,NaN
55,NaN,288.155667751684
65,203.103566209347,NaN
75,NaN,872.198734444835
80,88.2215513262576,NaN
95,NaN,575.383925800963
100,29.3336093419558,594.763610635922
150,223.45288542526,789.176587429297
200,211.176670946457,700.469481110181
250,246.53502434961,1693.61653866886
300,232.20932426264,1189.43309758114
