t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,178.094347727807,5.98800208999784,-37.3666285095677,406.565786776021,119.367531352534,-123.01516002168
10,-41.146374865547,NaN,NaN,523.27732406164,40.366846139069,-120.122007582013
15,NaN,4.72377500150443,110.907386350651,NaN,NaN,NaN
20,NaN,NaN,NaN,-400.627357560328,NaN,-392.584924101256
25,358.483819712963,NaN,60.1136842852894,NaN,16.6773322451407,NaN
30,NaN,7.63617441243101,NaN,697.117621921657,NaN,NaN
35,NaN,NaN,NaN,NaN,153.701683771703,380.821440439383
40,329.738934714619,NaN,284.969852359212,NaN,NaN,NaN
45,NaN,5.71494095190852,NaN,589.320423418401,NaN,1154.19257902221
50,427.464453624742,NaN,NaN,NaN,256.920535280152,NaN
55,NaN,NaN,317.007339565017,NaN,NaN,NaN
60,NaN,5.75388616251299,NaN,-250.409348479804,NaN,343.59131754891
65,NaN,NaN,NaN,NaN,114.088936353417,NaN
70,612.897860398047,NaN,429.418269447838,NaN,NaN,NaN
75,NaN,1.87206720138391,NaN,1522.90752810944,NaN,746.010067792522
80,NaN,NaN,NaN,NaN,190.22112910134,NaN
85,707.706689030869,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,308.678639548909,1082.75635429818,NaN,958.129491403613
95,NaN,1.86725534407355,NaN,NaN,NaN,NaN
100,628.936744938548,6.78072375396741,258.691638210614,1250.07901675652,277.28112200557,775.626058250403
150,-184.503353961417,2.83746075266282,184.772983737016,1486.2495351753,234.265240898291,865.813565592553
200,278.396752263232,6.35132267456143,506.244588075742,1511.09217961098,277.500074086066,1837.87803359919
250,501.669185416227,3.93990816992767,366.285913692491,1130.10510544083,280.737998521826,2046.79985527193
300,NaN,6.5065387983763,486.280217512825,1404.90980816197,451.87336450895,2088.90183484071
