t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,154.886939834307,69.7749904907264,-12.8755804494422
15,NaN,NaN,199.926262806667
30,73.3524865739142,23.729480996341,252.183138590884
45,NaN,NaN,187.958639919696
55,NaN,43.8307614098338,NaN
60,78.0191426950987,NaN,NaN
65,NaN,NaN,171.820099107043
80,NaN,NaN,173.865083483013
85,NaN,77.172999766323,NaN
90,44.6870776565204,NaN,NaN
100,83.4523682408556,99.7304996221036,194.362986239856
150,42.3324305516521,152.803014129849,166.211668353226
200,61.9317233555986,136.265491796714,109.08948487638
250,73.80399540558,124.220298335084,129.938614176879
300,71.5925549449335,154.884340123533,83.136597836558
350,84.7817005773406,153.523277422524,75.9994905986013
400,NaN,NaN,74.8583568409094
450,93.6629471419686,116.339069555684,NaN
500,NaN,134.736060649033,NaN
550,94.0007803783202,NaN,NaN
650,100.194073043437,167.449917350612,NaN
