t,X_protein_Obs,GFP_Obs,GFP_mRNA_Obs
0,9.86566608689316,0.110542677583152,5.84452399751417e-06
5,NaN,NaN,NaN
10,NaN,NaN,2.18800359758578e-25
15,NaN,NaN,NaN
20,4926.18748011491,NaN,NaN
25,NaN,NaN,6.73849623333889e-39
30,NaN,NaN,NaN
35,NaN,18.7273739657888,NaN
40,NaN,NaN,NaN
45,1990.69821112348,NaN,NaN
50,NaN,NaN,1.28738656099702e-48
60,NaN,NaN,NaN
65,NaN,21.6767829507999,NaN
70,2877.8517367217,NaN,NaN
95,944.819040895034,NaN,NaN
100,595.092299789551,44.9408837560181,NaN
150,738.391894129295,49.967632465106,NaN
200,719.272206290587,103.699607842677,NaN
250,1034.51527178213,54.1252169960733,NaN
300,800.686362960659,56.3786693972444,NaN
350,1135.10996744572,57.7907785288605,NaN
400,590.753499311212,77.1191081036308,NaN
500,NaN,54.4577732160526,NaN
600,NaN,34.9909043152835,NaN
700,NaN,72.4544030621828,NaN
