t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,156.945384725665,62.6300218017968,-2.71702649495689,5.94207981210071e-07,-5.42294274627504
15,NaN,NaN,17.2852685720195,3.89757015714996e-06,NaN
20,NaN,16.0583998612292,NaN,NaN,15.4565055300971
25,35.4874452156992,NaN,NaN,NaN,NaN
35,NaN,NaN,14.0476350100914,2.36941060174143e-06,NaN
40,NaN,11.248465351034,NaN,NaN,50.4083200374725
50,68.5983161494372,NaN,13.2030805549546,1.36947500252202e-06,NaN
60,NaN,9.02518321744907,NaN,NaN,40.6849636152175
70,NaN,NaN,12.7861495917304,1.05232677770928e-06,NaN
75,35.1281393330985,NaN,NaN,NaN,NaN
80,NaN,10.3158870394242,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,51.7898927708105
90,NaN,NaN,6.95385776721953,NaN,NaN
95,NaN,NaN,NaN,6.39624065805707e-07,NaN
100,25.2057681860452,10.6045728818804,6.45117571010052,1.11969618281665e-06,75.6718247032328
150,68.9212475583161,17.4084198165652,3.24083329256369,1.22695664054367e-06,69.7669816273088
200,80.2864979890756,19.9075457338112,1.29142836895884,NaN,95.9222356838742
250,49.4065362390033,26.6070018090998,2.28877773931741,NaN,130.158804238327
300,49.5714712847924,19.4695828796716,2.65683461351113,NaN,91.3445439726834
350,83.9175712730293,18.7019734806831,1.18980864616628,NaN,110.901805539136
400,68.1778284509794,32.1998085510643,NaN,NaN,NaN
450,68.2090765988288,18.3875608763244,NaN,NaN,165.508715073319
550,88.555907704301,22.7231235857755,NaN,NaN,NaN
650,103.037456491432,NaN,NaN,NaN,NaN
