t,bcar_Obs,bio_Obs
0,7.66456962059532,0
10,3.4799637098274,NaN
20,2.99029776042618,2.89107261768424
30,2.05973790012265,NaN
40,1.66154477063073,NaN
45,NaN,6.18309043900393
55,0.984406431876713,NaN
70,0.994468991134359,7.9332087925233
85,0.525082810455279,NaN
95,NaN,9.84123228183161
100,0.320050825996296,6.83131546978286
150,0.0396765559156642,13.1357845138104
200,0.0244421494745737,7.20378899037604
250,NaN,13.3335393003609
300,NaN,9.00040202801836
350,NaN,8.55639666709881
450,NaN,11.5161664360952
