t,bcar_Obs,bio_Obs
0,2.34781905194307,0
8.5,1.70823844694147,NaN
20,1.70416288822821,0.688396608527309
25,0.87899254289354,NaN
35,0.693202946595095,NaN
45,0.695323905240644,1.26056956172127
60,0.372028787086601,NaN
70,0.344937437020903,2.2904376362714
85,0.24475333691015,NaN
95,NaN,3.31454313354274
100,0.0985770805871232,2.65766285166075
150,0.0429967321976255,2.68137283640693
200,NaN,3.88329439388137
250,NaN,3.98275213972992
300,NaN,3.64233716667177
350,NaN,4.47126162403426
450,NaN,8.58103632112222
