t,EpoRJAK2_Obs,PTPAct_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs
0,0.126095894130182,0.000391025466498261,2.05051492362307e-05,0.000356920782443017
10,-0.0110893896175418,NaN,NaN,NaN
15,NaN,0.000673640910076804,NaN,0.000496024868305555
20,NaN,NaN,0.000158734864200948,NaN
25,0.00214460312980365,NaN,NaN,NaN
35,0.0103347114929659,0.000158231577463741,NaN,0.000715742258859713
40,NaN,NaN,0.000135984224343489,NaN
50,-0.0130461736226924,NaN,NaN,NaN
55,NaN,0.000338412154185206,NaN,0.000569556577749369
60,NaN,NaN,7.97466971303448e-05,NaN
65,0.00646530530475691,NaN,NaN,NaN
75,NaN,0.000516382475607956,NaN,NaN
80,NaN,NaN,NaN,-5.13340071711162e-05
85,0.0242320333121784,NaN,9.84622757173924e-05,NaN
95,NaN,0.000733877193725187,NaN,NaN
100,0.00479067787285821,0.00102516486060989,8.37962558035397e-05,-1.10510405688035e-07
150,0.0281512606834684,0.000415207143685728,6.37225275218277e-05,NaN
200,0.0261500122923331,0.00106804644111154,9.63433801755087e-05,NaN
250,NaN,0.000964325095596753,8.68086476183145e-05,NaN
300,NaN,0.00113487930045072,8.21579846266314e-05,NaN
