t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,nSTAT5_Obs,npSTAT5_Obs,STAT5_Obs
0,3.13632073542292,-7.08593292900787e-05,-3.31507085934552,-0.133030274214062,-0.868088606269489,33.5599008880825
10,NaN,NaN,28.9247145049954,NaN,NaN,NaN
15,0.489338730341641,NaN,NaN,8.2589867170296,NaN,2.86000709303497
20,NaN,NaN,NaN,NaN,15.8541810135781,NaN
25,NaN,0.00154593938743009,17.7362860361879,NaN,NaN,NaN
30,NaN,NaN,NaN,11.6052270760936,NaN,6.64338409469211
35,0.717576766342725,NaN,17.3869732453968,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,8.82182313970301,14.7912316819446
50,1.8880863443167,3.02766957254526e-05,8.57046637162557,5.64092258181108,NaN,NaN
65,NaN,NaN,13.7488220119018,12.1367861447882,NaN,25.889613878455
70,0.446052851183069,NaN,NaN,NaN,14.2813993137215,NaN
80,NaN,0.000725457247967641,16.4852118839223,NaN,NaN,NaN
85,NaN,NaN,NaN,5.93282034440581,NaN,14.8389882398847
95,3.00614866901193,NaN,NaN,NaN,4.91684037048924,NaN
100,0.758406073621013,0.00370283344858969,8.49639565868224,7.43024289143048,4.9955150914157,-0.787076523594303
150,1.3627212153827,0.00199428203730017,11.918948093431,4.44039257853578,3.5962748151403,24.4777920310426
200,1.20966355748352,0.00201782261846716,13.4275023258666,2.80202842412028,14.5435301909508,3.20167296561458
250,1.30266894290528,0.00278587309509666,-2.11753690789109,5.52652762282865,6.56759716784395,21.6157157535441
300,NaN,0.00219648119587491,NaN,8.76178989919553,8.34092829292598,NaN
350,NaN,0.00124023039177751,NaN,11.5913581968553,8.10519297251462,30.9098783051886
450,NaN,NaN,NaN,NaN,11.3964727293279,NaN
