t,epo_level,SOCS3nRNA4_Obs
21,6.6667e-07,0.000323288926520322
21,6.6667e-07,0.000383732817283119
21,1.3333e-06,0.000128762212323748
21,1.3333e-06,0.000404912027609341
21,2.6667e-06,0.00017482208592919
21,2.6667e-06,0.000251548585192044
21,5.3333e-06,0.000375352203024581
21,5.3333e-06,0.000428923177215129
21,1.0667e-05,-7.226833406677e-05
21,1.0667e-05,0.000787729582512443
21,2.1333e-05,-8.05631333255231e-05
21,2.1333e-05,0.000387624795854586
21,4.2667e-05,0.000305850739926881
21,4.2667e-05,0.000473078478013902
