t,epo_level,PTPAct_Obs,SOCS3nRNA2_Obs
17,2.5e-09,1.47033437537422e-05,0.00725975550964071
17,7.905e-09,-0.000361541006196765,0.0146010147454551
17,1.25e-08,0.000501425076189557,-0.0126821808409416
17,1.75e-08,0.000209596931281746,0.0302244055882686
17,1.75e-08,0.000486501083737554,0.0390630193645719
17,1.75e-08,0.000521189973723572,-0.00639508833933525
17,2.5e-08,0.000411591257854047,0.046107683147574
17,3.95e-08,-0.000291550224761764,0.0430768161120493
17,7.9e-08,0.000940804279482322,0.0432478858205061
17,1.25e-07,0.000486357964728184,0.0567731760780485
17,1.25e-07,0.000628681886571667,0.0268785313944745
17,1.25e-07,0.00158698033757973,0.0608491956247459
17,1.7675e-07,0.000547269316482732,0.0872250914539024
17,2.5e-07,0.000573593918321061,0.0359693018761952
17,7.905e-07,0.00120145630711304,0.0536219279484386
17,2.5e-06,0.00164734964124861,0.0901182063560127
