t,EpoRJAK2_Obs,PTPAct_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs
0,0.124509512158123,0.000114128460329358,2.39198085680462e-05,0.000496140712941402
10,-0.000575899431105077,NaN,NaN,NaN
15,NaN,NaN,NaN,0.000439697933859808
20,0.0116111630893945,0.000210344965131714,0.000147722319014105,NaN
30,NaN,NaN,NaN,0.000345075803538645
35,0.00839846393437512,NaN,0.000154259447135064,NaN
40,NaN,0.000182343360907721,NaN,NaN
45,0.0158345604286282,NaN,NaN,NaN
50,NaN,NaN,NaN,0.000420707395282421
55,NaN,NaN,0.000113890919645295,NaN
60,0.0184622444765566,0.00036107321190441,NaN,NaN
70,0.0212030971545567,NaN,NaN,0.000428537390839595
75,NaN,NaN,0.000102478252166368,NaN
85,NaN,0.000460660145607947,NaN,NaN
90,0.0206539940668668,NaN,NaN,0.000447907022683581
100,0.0224501328451453,0.000501501815195088,8.71560592013198e-05,0.000447473889800866
150,0.024757409854595,0.000610965828161215,7.87458835507455e-05,NaN
200,0.0276129191919671,0.0006626171620733,9.10960417645725e-05,NaN
250,NaN,0.000762502326687092,5.48186957854087e-05,NaN
300,NaN,0.000759606124065078,8.97076728117772e-05,NaN
