t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA4_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,2.00604550830432,-8.29762701184361e-05,-0.491177721681204,0.000852820874769259,0.00231827894794185,0.00310284905527445,0.00171997639472941
20,NaN,NaN,20.1362495188405,NaN,NaN,NaN,NaN
25,1.61420274767137,NaN,NaN,0.0407681817704378,0.0320751531834644,0.0967510671729989,0.0631628771424366
40,NaN,NaN,12.2243620922256,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.0326521965494877,NaN,0.0979720144565527,NaN
50,1.76710355582088,0.000973310408333761,NaN,NaN,0.0326857872501139,NaN,0.0946513593093505
60,NaN,NaN,7.08392362174401,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.0442841292776645,NaN
75,NaN,NaN,NaN,0.0177947149546916,NaN,NaN,NaN
80,1.82633084969633,NaN,NaN,NaN,0.0151771146723219,NaN,0.0513189606912873
85,NaN,NaN,3.49732632625378,NaN,NaN,NaN,NaN
100,1.92379203320493,0.00126760762157778,2.43515452398337,0.00940919860981725,0.00963271202010535,0.0309128817585892,0.0294287162426609
150,2.00216570532736,0.00144166468076202,5.18535051302062,0.0100302427328254,0.0139939142986856,0.0275707993729838,0.0342915567694604
200,1.53500317639924,0.00132017000957755,4.62653626719342,0.0112946407527299,0.0107059660469053,0.0326970437827275,0.0268767977650181
250,1.68717795796679,NaN,4.2009504257115,NaN,0.00983745147419138,0.0341096439037555,0.0222328087621337
300,1.91507254989888,0.0015215561499507,5.87179968534609,0.0121859648637258,0.0100691085383158,0.0349968458539015,0.0266929462032838
350,1.77890914594692,0.00150171034256744,NaN,NaN,NaN,NaN,NaN
450,NaN,0.00165775165315052,NaN,NaN,NaN,NaN,NaN
550,NaN,0.00165141822152653,NaN,NaN,NaN,NaN,NaN
700,NaN,0.00169070695617074,NaN,NaN,NaN,NaN,NaN
850,NaN,0.00174917694794971,NaN,NaN,NaN,NaN,NaN
