t,CISHnRNA4_Obs,SOCS3nRNA2_Obs
0,3.93904835657394e-05,0.00574216356917739
4.5,3.51949833050522e-05,NaN
5,NaN,0.00358245556182082
9,2.13005019438472e-05,NaN
10,NaN,0.00117517379651335
15,5.01406488804186e-06,-0.000172356885390152
20,-3.48634380916202e-06,-0.000770747839411435
25,-6.36966071546105e-06,-0.000993642872483778
30,-7.60044822209136e-06,NaN
35,NaN,-0.00113330727537731
40,-7.26869588187604e-06,NaN
45,NaN,-0.00114233733960302
50,-7.96657790458434e-06,-0.00112147055886037
60,-7.88291660461816e-06,NaN
65,NaN,-0.00115983141987853
70,-7.57056217127091e-06,NaN
75,NaN,-0.00114773687020416
85,-7.79669361079715e-06,NaN
