t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,2.96653568322925,-0.000920473541188574,-0.735280076040215,-0.00574403333953125,0.031452525019242,0.00231299959684764
6.5,1.98246980492744,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,0.00419359843760765,NaN,NaN
7.5,NaN,NaN,26.3650237078866,NaN,0.0296919146376691,NaN
10,NaN,NaN,NaN,NaN,NaN,-0.0215215579105538
15,2.30193804151714,-0.00020071657895273,15.3728999403594,0.0153780349798938,0.040645446855865,NaN
20,1.80662772156881,NaN,NaN,0.0317555884921359,NaN,NaN
25,-0.397816698095955,NaN,14.8364943248031,NaN,0.0840122523074992,0.0354107987336325
30,NaN,0.00236102116162524,11.8737043818677,0.0383509295892156,0.0857583430398335,NaN
35,2.36447781721015,NaN,NaN,NaN,NaN,0.0863847913938091
40,NaN,NaN,5.01187464129014,0.0360657480864597,0.0801036763147849,NaN
45,2.53505363670202,0.00103559294789283,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,0.0338652040116365,0.0535892286719645,0.0285517079365424
55,3.53385589855043,NaN,4.77274635582435,NaN,NaN,NaN
65,2.88460617273331,0.00329591748071904,10.0203317573377,0.00797979795453344,0.0675442167388859,0.0641769983222175
80,1.86049462418427,NaN,8.18917073375547,0.00705139646226256,0.00123616846614685,0.0599308289287454
85,NaN,0.00182811298563488,NaN,NaN,NaN,NaN
95,2.0421079655404,NaN,NaN,0.0124892355130124,0.0324905478388076,NaN
100,0.119946207932366,0.00152140731052602,9.91304999319602,0.00277104270370632,0.0235379880903471,0.0306018611643929
150,NaN,0.000742503721376442,2.72389844937718,NaN,NaN,0.0227549702251554
200,NaN,0.00293673311433623,NaN,NaN,NaN,0.0303790602369058
