t,EpoRJAK2_Obs,PTPAct_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs
0,1.87824276886119,-0.000106553372318538,-5.82958535969349e-05,0.000271509873428474
10,NaN,NaN,NaN,0.00166050631962565
15,0.0872590361741541,NaN,NaN,NaN
20,NaN,NaN,0.00119947745498464,NaN
25,0.219269241103356,NaN,NaN,0.000470169181644224
30,NaN,0.000270503508379392,NaN,NaN
35,NaN,NaN,NaN,0.000509017641790447
40,0.435569244685921,NaN,NaN,NaN
45,NaN,NaN,0.00114355559682594,NaN
50,NaN,NaN,NaN,0.000516058270360019
55,0.409419287711907,NaN,NaN,NaN
60,NaN,0.000322715145000436,NaN,NaN
65,NaN,NaN,NaN,0.00044812286928169
70,NaN,NaN,0.00114332047730885,NaN
75,0.453981256551157,NaN,NaN,NaN
80,NaN,NaN,NaN,0.000536831190231819
90,NaN,0.000630623346138844,NaN,NaN
95,0.440595104135841,NaN,0.00100436520243156,NaN
100,0.5417176253201,NaN,0.000924252126632063,0.00053361026257467
150,0.650431975695269,0.000746707246521519,0.000921981110643929,0.000463265548210315
200,0.626915607383378,0.000991959638788447,0.000924198535087038,NaN
250,0.731141812617947,NaN,0.000918038910660344,NaN
300,NaN,0.000928198253654346,0.001061260411605,NaN
350,NaN,0.00101856059909599,0.000827598359951186,NaN
450,NaN,0.00109566840538804,NaN,NaN
