t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs
0,2.18010592918881,0.000396181769774305,0.0365085709782824,-0.000195213650237644,0.012229949118463
10,0.754231972852808,NaN,0.118977500061909,NaN,NaN
15,NaN,NaN,NaN,NaN,0.00938463999709624
20,NaN,0.000102624300222549,NaN,0.000347573496738698,NaN
25,2.47358805896905,NaN,0.282248762690482,NaN,NaN
35,1.99157370984624,0.00023471826757315,0.244634197585549,0.00081356295155128,0.0107119804701767
50,2.85004418434971,NaN,0.126959165648443,NaN,NaN
55,NaN,0.000472118214772126,NaN,NaN,0.00895542614898666
60,NaN,NaN,NaN,0.000604601116720784,NaN
65,2.99192127729068,NaN,0.13935199066419,NaN,NaN
75,NaN,0.000294368660340166,NaN,NaN,0.00490054344521523
80,2.64688994559777,NaN,0.1357055758536,0.000252342713084688,NaN
95,NaN,NaN,0.094602213783707,NaN,0.00802861916862319
100,3.4444589798398,0.00039489665317993,0.11111087499918,-1.21761820310997e-05,0.00337090091854552
150,0.879753139923509,0.000361716282519076,0.0864082298600162,9.93523148228647e-05,0.00627164441623875
200,3.24381651993366,0.000392186545510262,0.125787676521727,3.73568665509203e-05,0.00727250882394085
250,NaN,0.000259807715850014,NaN,4.36892184609146e-05,0.00516247134261087
300,NaN,0.000257795603068563,NaN,NaN,0.00977890760197092
