t,EpoRJAK2_Obs,PTPAct_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,1.68357962518767,0.000168642883057154,-0.000253417783423718,4.54054073510489e-05,0.000894018162371947
10,0.155963521466838,NaN,NaN,NaN,0.00204386888987441
15,NaN,NaN,NaN,0.000403515797122708,NaN
25,0.142191115724403,-0.00018203312731909,NaN,NaN,0.000810036124904161
30,NaN,NaN,0.000948997052967548,0.000457952144651878,NaN
35,NaN,NaN,NaN,NaN,0.000784919694969217
40,0.427188884296606,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.000326494261656377,NaN
50,0.238626314900927,0.000184625957918209,NaN,NaN,-0.000116976381460594
55,NaN,NaN,0.00111043172369144,NaN,NaN
60,NaN,NaN,NaN,0.000301408626142083,NaN
65,-0.18220590053467,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,-0.000175572106344017
80,NaN,0.000512094963583871,NaN,0.00046789233720315,NaN
85,0.224082501298933,NaN,NaN,NaN,NaN
90,NaN,NaN,0.000861449168561549,NaN,0.000378902729472616
100,0.864822065010914,0.000957174687163203,0.000843640436447969,0.000386323852986488,0.000363224376331623
150,0.487050696941815,0.00104313756850897,0.000970704973471109,0.000744698634760565,0.000323077707456926
200,0.46390919022079,0.0010128550240158,0.000640031234243048,NaN,NaN
250,0.980723980011774,0.00115406217464161,0.00104675867942211,NaN,NaN
300,NaN,0.000993476209670966,NaN,NaN,NaN
350,NaN,0.00108366012496426,0.00112298471258258,NaN,NaN
400,NaN,NaN,0.000762896595560123,NaN,NaN
450,NaN,0.00135054396447052,NaN,NaN,NaN
