t,epo_level,EpoRJAK2_Obs,CISHnRNA1_Obs
57,2.5e-09,1.35935388074664,0.015500956323496
57,2.5e-09,1.38174564035323,0.0111656752046233
57,2.5e-09,3.21392001873109,0.00587060986102866
57,2.5e-08,1.62075744475873,0.0224552353229315
57,2.5e-08,2.52925022901448,0.0352083928254488
57,2.5e-08,3.06017606841945,0.0363770063677043
57,1.25e-07,1.13784199230977,0.0122646901131612
57,1.25e-07,2.15425788740205,0.0223093870735798
57,1.25e-07,2.61896043002296,0.018907001666012
57,2.5e-07,0.651105566440755,0.0137710969577999
57,2.5e-07,2.76480378304047,0.00416999363095762
57,2.5e-07,2.85154844776996,0.0268285252760224
57,1.25e-06,0.338793795832517,0.0334883390122356
57,1.25e-06,0.533995696290041,0.0344385412579567
57,1.25e-06,0.550763435956766,0.0261845906452541
57,2.5e-06,0.950930409847007,0.0286124146284715
57,2.5e-06,1.83677731225127,0.0308296523371074
57,2.5e-06,2.09970932259903,0.0340508223361447
