t,EpoRJAK2_Obs,PTPAct_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs
0,2.28413574251898,2.26137592534253e-05,-0.0021847848040136,0.0180954458322376,0.00444606980612409
6.5,1.08397366460118,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.00666616464928105
7.5,NaN,NaN,0.00993135230414094,0.0182612379810068,NaN
15,1.49600095843435,0.000806310583964873,0.0270628777557075,0.0519893248050331,0.0158565134287321
20,2.11727554171343,NaN,NaN,NaN,0.0308111347549325
25,NaN,0.000730570189767293,0.0417410396680324,0.0810841851811727,NaN
30,1.97018969324789,NaN,0.0404760235896598,0.109528697339716,0.080815832037427
35,1.77266607030674,NaN,NaN,NaN,NaN
40,NaN,0.00087780209118044,0.0325956946668851,0.093559378187615,0.0933803522706182
45,1.99758115455361,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0267238772052739,NaN,0.094371643456483
55,2.05841485997159,0.00111990492941126,NaN,0.0795252275539725,NaN
60,NaN,NaN,NaN,NaN,0.0767558654366627
65,1.71759823678963,NaN,0.0194991563946179,0.0681011514488605,NaN
75,NaN,0.00116384704564091,NaN,NaN,0.0526263683927672
80,1.88045812328286,NaN,0.00924908976744793,0.0357469728978447,NaN
95,1.83244639352262,0.0012942745921059,0.0113125716385113,NaN,0.0385031074126036
100,1.8054441509984,0.000940609392508691,0.00651839235517729,0.0336457578179667,0.0300677000850942
150,1.68049934169027,0.00130045958681608,NaN,NaN,NaN
200,NaN,0.00128550300836934,NaN,NaN,NaN
