t,EpoRJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA2_Obs
0,1.33087020710573,-0.000131866404918175,-6.11051842098246,0.0103111450581798,-0.0206478216601884
8,1.55639263498041,NaN,NaN,NaN,NaN
8.5,NaN,NaN,27.3065745566453,NaN,NaN
10,NaN,NaN,NaN,0.0203174285853056,0.0233760622384083
15,2.48763012556065,NaN,18.5792078148611,NaN,NaN
20,NaN,-0.000196398176678162,NaN,NaN,NaN
25,0.217537649156295,NaN,19.9688538239565,0.0455396176343499,0.0861143208447822
35,1.52320329208378,NaN,2.0126296462208,0.0453907367847535,0.103269650143495
40,NaN,0.00147587950223143,NaN,NaN,NaN
45,1.67038478670094,NaN,9.98382035801088,NaN,NaN
50,NaN,NaN,NaN,0.0357196769372287,0.0829170443247389
55,2.38940128477055,NaN,NaN,NaN,NaN
60,NaN,0.000692737680676154,5.29368439795378,NaN,NaN
65,NaN,NaN,NaN,0.0146711225329183,0.101323919246733
70,1.62822619279423,NaN,NaN,NaN,NaN
75,NaN,NaN,6.65421399039024,NaN,NaN
85,2.00893296518204,0.00101757462776287,NaN,0.0303905159079515,0.0323163945623927
90,NaN,NaN,-7.54821835360702,NaN,NaN
100,2.12471478089212,0.00152811631038265,8.00885816325153,0.0112274233264798,0.0377462860329299
150,2.27204852931131,0.00211186213146983,11.2218495691148,0.0184540959721494,0.0142281114834257
200,NaN,0.000408889114462768,NaN,NaN,NaN
250,NaN,0.00169883028608491,NaN,NaN,NaN
300,NaN,0.000932027826648512,NaN,NaN,NaN
