t,ApoER2_re_Dab1_Obs,Compound_1_Obs
0,1.00559233039939e-08,0.000121589810195041
20,1.14952953501849e-05,NaN
30,NaN,0.000902082272512779
45,1.58521769380959e-05,NaN
65,NaN,0.00229168972324516
70,6.70785972171727e-06,NaN
95,1.01733091214969e-05,NaN
100,8.98491705786094e-06,0.0017053801702356
150,6.96751062442881e-06,0.000955218616291688
200,1.62586993468792e-05,0.000322281378975568
250,6.41614406174453e-06,NaN
300,5.46768470854488e-06,0.00023642488195886
350,8.73656355524336e-06,0.000134615290216613
400,NaN,7.55712999797229e-05
500,NaN,5.09288962934348e-05
600,NaN,6.89632140550387e-05
