t,Reelin_input,ApoER2_re_Dab1_Obs,Compound_1_Obs
20,0,1.84485615671837e-07,5.2145099814157e-05
20,0.00012207,2.77626292172916e-06,6.23152699388361e-05
20,0.00024414,4.31043949506809e-06,6.32999424107004e-05
20,0.00048828,1.76513746936712e-05,6.47539284651299e-05
20,0.00097656,7.14545652365359e-06,0.00019342465873223
20,0.0019531,8.81533928044474e-06,0.000117281748675714
20,0.0039062,7.05189141117601e-06,0.000676617063084847
20,0.0078125,1.59323962567199e-05,0.00216619206799901
20,0.015625,1.02334879780322e-05,0.00275027031554517
20,0.03125,8.39270424433371e-06,0.00251850373862909
20,0.125,2.11793455987209e-05,0.0166729411132131
20,0.25,3.96240054257867e-05,0.008503897499318
20,0.5,7.76255417228206e-05,0.0444881731400091
20,1,6.25150956203122e-05,0.0302695903191374
