t,ApoER2_re_Dab1_Obs,Compound_1_Obs
0,7.65687994951029e-08,0.000207642191031565
15,5.20735323055092e-05,NaN
20,NaN,0.0298292620926507
35,3.68630661412577e-05,NaN
40,NaN,0.0215232372494031
50,2.23287271264037e-05,NaN
65,NaN,0.0267037380374267
70,2.18158592772269e-05,NaN
90,NaN,0.00894545639802533
95,1.29130848642235e-05,NaN
100,1.09615689027475e-05,0.00422885736481438
150,9.73407673500376e-06,0.00223417535522025
200,1.04657793987978e-05,0.000774113075012021
250,NaN,0.000729856175041733
300,NaN,0.000575682691664746
350,NaN,0.000552832167128507
