timepoint,Bac_Obs,cGlu_Obs
0,0.0105220028863555,0.01045818457846
350,0.0949437190978782,NaN
400,NaN,0.789299353609725
700,0.552530684916623,NaN
750,NaN,5.05490928279532
1000,0.81117400662047,5.63971838824782
1500,0.961523499208588,5.51637293117132
2000,0.906037529852405,6.43076052790065
2500,1.44686695115631,5.62170112229409
3000,0.936233892640492,2.96477581707788
4000,0.901510669736414,4.1364909502921
4500,0.727257731135079,3.46173765114163
5500,NaN,2.85012855089949
6000,0.714839736196957,NaN
7000,1.28605523800948,1.87227596182741
8000,NaN,2.63854827852441
8500,1.28017190100178,NaN
