timepoint,Bac_Obs,cGlu_Obs
0,0.0148711871889397,0.0112576189712229
100,0.0169687126757634,NaN
250,0.0455021083249191,NaN
300,NaN,10.3177034076673
400,0.104495915043273,NaN
500,0.200397172812387,NaN
650,NaN,7.31519178028258
700,0.463733665674983,NaN
850,0.571870574213396,NaN
1000,0.647891189527269,9.00099056339553
1500,0.616572028073692,9.55251828847699
2000,0.588010842806175,8.36819449895945
2500,0.794619655692857,8.07664842281004
3000,NaN,9.42655345560344
4000,NaN,10.0350998043376
4500,NaN,5.30479173837963
5500,NaN,6.1697767382323
6500,NaN,4.97510102912435
7500,NaN,6.59870677951805
