timepoint,Bac_Obs,cGlu_Obs
0,0.0154978995293931,0.00101931219795675
400,0.0270509040656442,NaN
450,NaN,0.0328658819456147
800,0.0484154663638592,NaN
850,NaN,0.0606482904957163
1000,0.0567052123318339,NaN
1500,0.173843300022652,0.260890334521293
2000,0.261846919004808,0.363875221986533
2500,NaN,0.554741632919207
3000,0.773243669429544,0.758704919315249
3500,1.03701762623082,0.979481079512707
4000,1.6505763789666,NaN
4500,NaN,0.911923207706244
5000,2.15239867230113,0.813099711977669
6000,NaN,0.552307025449102
6500,1.78555425073764,NaN
7500,NaN,0.394005616818352
8500,NaN,0.19769477171145
