timepoint,Bac_Obs,cGlu_Obs
0,0.0120046875604169,0.0114333851724901
150,0.0218323578168408,NaN
250,0.0457634352345178,NaN
400,0.0741931735117692,0.462504308949625
550,0.210126775515305,NaN
700,0.461232939937846,NaN
800,NaN,5.08634491392206
900,0.884894193418649,NaN
1000,0.935848166193046,5.29472844826946
1500,1.60945788302336,7.63545253392982
2000,1.74434764694541,5.11351341107438
2500,1.58628342634587,5.5074847643938
3500,NaN,3.41726748194588
4000,NaN,3.38380398323192
5000,NaN,3.23383941067095
6000,NaN,1.77801408770751
7500,NaN,3.19136434326616
