timepoint,Bac_Obs,cGlu_Obs
0,0.0126952141260712,0.00971359939959798
200,0.0141728694789481,NaN
350,0.045613770606173,NaN
400,NaN,0.310605263079345
550,0.0528279231366398,NaN
750,0.103156134105962,NaN
800,NaN,1.22991000239259
950,0.141495990838908,NaN
1000,0.112350141342028,2.03018285652604
1500,0.388824832505204,4.73246452455091
2000,0.516432708495504,8.22282774886517
2500,0.491571277610981,NaN
3000,0.659882348685373,5.15389010657083
3500,0.476637333662194,4.03764400752172
4000,NaN,5.25780952899036
5000,NaN,2.19392425751894
6000,NaN,3.10596203738228
7000,NaN,1.80806419896115
8500,NaN,2.19647846541903
