timepoint,Bac_Obs,cGlu_Obs
0,0.0100908037518135,0.00791699032287223
150,0.0140436683393801,NaN
350,0.0323704311060373,NaN
450,NaN,0.535074516552508
500,0.0343948188614488,NaN
700,0.0799513847448574,NaN
900,0.124446686586136,1.90762869342065
1000,0.156882122635888,NaN
1500,0.335803262777378,6.06720461703826
2000,0.534334177290483,7.25212105960909
2500,0.630606720718907,6.66136368317088
3000,0.965623571440986,5.89837414906553
3500,0.725339437082965,NaN
4000,NaN,3.13329069299006
4500,NaN,3.96527751568761
6000,NaN,2.85253502730312
7000,NaN,2.66034857280709
8500,NaN,1.64613734351236
