timepoint,Bac_Obs,cGlu_Obs
0,0.0114244013572352,0.00130424791075042
200,0.0225669695465084,NaN
350,0.0325206445026973,NaN
400,NaN,0.0371789127400715
550,0.0676789948611225,NaN
750,0.101713798841047,0.127933636014392
1000,0.169676098141326,0.235028980827888
1500,0.509096793759552,0.629833270913838
2000,0.638439025848208,0.942753538022991
2500,0.934242070569026,0.851357172307174
3000,1.12046060302926,0.995692095818127
3500,1.1260436399213,1.24755362612411
4500,NaN,0.742749150470412
5500,NaN,0.620017178186113
6000,NaN,0.507524462333743
7500,NaN,0.464128120400054
8500,NaN,0.338468564906502
