timepoint,Bac_Obs,cGlu_Obs
0,0.00865098354519456,0.00088144797367518
200,0.0167102598629107,NaN
400,0.0204902549612292,0.0305414378260519
600,0.0460586981136699,NaN
800,0.0712088822071884,0.1060149839452
1000,0.111081678815908,0.150569531110902
1500,0.249398388101715,0.423812704578642
2000,0.308460582394511,0.650712727684739
2500,0.429340454360366,0.637443621262911
3000,0.639535575175845,NaN
3500,NaN,0.851434031591155
4000,NaN,0.528406850445452
5000,NaN,0.887920137584037
6000,NaN,0.716698208825115
7000,NaN,0.431422956268187
8500,NaN,0.368031211358548
