timepoint,Bac_Obs,cGlu_Obs
0,0.0106887801991772,0.00974322745253868
150,0.0176905661845469,NaN
250,0.0369999569987086,NaN
400,0.059070988261439,0.445635557917747
550,0.127978535097437,NaN
700,0.205245306926759,NaN
800,NaN,2.61300433772487
850,0.325511640959966,NaN
1000,0.66455158192929,5.140059096855
1500,1.32973377234872,5.52895125054862
2000,1.58500321441645,9.60552003765589
2500,1.5532990227783,NaN
3000,NaN,5.42492561094911
3500,NaN,3.49020424762737
4000,NaN,3.28758877539527
5000,NaN,3.82480543583158
6500,NaN,1.74492005233259
7500,NaN,1.74178786837773
