timepoint,Bac_Obs,cGlu_Obs
0,0.0146177911255073,0.000986654965000634
200,0.0276716487431213,NaN
400,0.0505204226770158,0.0468149024294347
650,0.100250012829739,NaN
800,NaN,0.190216655269236
900,0.239252388263696,NaN
1000,0.409300044519716,0.34441392226944
1500,0.676176009680558,0.842682383264611
2000,0.740139834839149,1.3667908061061
2500,1.04684403659122,0.711709163873399
3000,0.847062832847006,NaN
3500,NaN,0.768687695127014
4000,0.653672373681992,0.648340386376131
5000,NaN,0.748222004837149
6000,NaN,0.473237543363799
7000,NaN,0.35687910411492
8500,NaN,0.332381194669264
