timepoint,Bac_Obs,cGlu_Obs
0,0.00884562566017992,0.0130902064767229
150,0.0265177880137576,NaN
300,0.0367483971132988,8.27116319414295
500,0.133013626317903,NaN
650,0.135595825482402,13.0430440544779
850,0.375681774722799,NaN
950,NaN,9.17095176222281
1000,0.491562845946188,NaN
1500,1.1830685298609,8.73032274956888
2000,1.36547096277681,7.62354069904648
2500,1.67875677101318,5.83509099176062
3000,1.1308060597521,7.20977897338231
3500,NaN,6.10215261043485
4000,NaN,9.02300785365176
4500,NaN,5.85645038129898
5500,NaN,5.0206003991708
6000,NaN,5.98311823434122
7000,NaN,5.24283284443214
8500,NaN,5.47567259548094
