timepoint,Bac_Obs,cGlu_Obs
0,0.0129516687620509,0.00904074641410775
400,0.0124108004345666,0.4706610946028
800,NaN,0.699489107813981
850,0.0117798848556164,NaN
1000,NaN,1.18132942331996
1500,0.279595515852562,4.01434581116608
2000,0.636801625610237,6.0435416831671
2500,0.579235090470001,NaN
3000,0.722469455469305,4.14561550106165
3500,NaN,3.21558908617503
4000,0.695927635133349,2.48525140013915
4500,0.767780014406622,NaN
5000,NaN,1.88887360887074
5500,0.506586864176719,NaN
6500,NaN,1.72463681625301
7000,0.687612894917192,NaN
7500,NaN,1.59053728818814
8500,0.646231468628762,NaN
