timepoint,Bac_Obs,cGlu_Obs
0,0.0144249096415188,0.0105534871969212
250,NaN,9.31795892875513
350,0.0782199600951476,NaN
500,NaN,10.4817782725466
750,0.335402239021352,NaN
800,NaN,9.15873492804345
1000,0.407821108157143,13.5132221863263
1500,0.416510886322628,10.3075348903773
2000,0.518753126766964,8.32163227456423
2500,0.425966695625933,8.72292171738744
3000,0.622858322177436,7.1199317051257
3500,NaN,6.3309263871525
4000,0.575491848360293,6.78725581913762
5000,0.461959700697743,6.93678225613802
5500,NaN,5.44645295543005
6000,0.380397463554534,NaN
6500,NaN,4.33544711830123
7000,0.661815293206135,NaN
8500,0.411970406453171,NaN
