timepoint,Bac_Obs,cGlu_Obs
0,0.0106509466855518,0.00882428828611716
100,0.0202180413934595,NaN
250,0.0473553847905802,NaN
350,0.0523878948205593,NaN
450,NaN,0.893245258574903
500,0.108736597816511,NaN
650,0.241708235309007,NaN
800,0.30826698433224,NaN
900,NaN,3.86343950077905
950,0.267714732912839,NaN
1000,0.456391368045837,NaN
1500,0.573542990705722,7.10692550635708
2000,0.46484920365831,5.06453227097253
2500,0.654267693021371,5.74451258404211
3000,NaN,4.02294675343325
4000,NaN,3.57024194925889
4500,NaN,3.53623940769394
6000,NaN,2.21259162530239
7000,NaN,2.57090593494217
8500,NaN,1.62865805681477
