timepoint,Bac_Obs,cGlu_Obs
0,0.0127922626541341,0.00818151415639201
200,0.0180641981619086,NaN
300,NaN,9.91803268381874
350,0.0297049022329833,NaN
550,0.0862131311662584,NaN
650,NaN,8.93242757967424
750,0.179012563014292,NaN
950,NaN,10.8846445149661
1000,0.350160469947808,NaN
1500,0.791793160926347,8.1704970074597
2000,0.874711522244891,7.22375193562214
2500,1.25886428213616,8.95988613145491
3000,1.4298962498569,NaN
3500,0.822378325682129,6.41754555137016
4000,NaN,7.64639254258476
5000,NaN,8.63570253983671
6000,NaN,6.61226910381379
7000,NaN,5.36359515172122
