timepoint,Bac_Obs,cGlu_Obs
0,0.0112679799443316,0.0128891469214152
200,0.0126580720042494,NaN
300,NaN,9.43433179599743
400,0.0318036146015269,NaN
550,NaN,7.71852634182913
600,0.0897327342065201,NaN
800,0.140690438120109,NaN
850,NaN,9.11169969305637
1000,0.340865655585836,9.53179422965199
1500,1.15714116284934,8.86111727804751
2000,1.61850595446055,7.54783478048304
2500,1.08630999787023,6.42484513417654
3000,1.35451370863898,6.66724109212398
3500,1.51978680508074,7.63061226520867
4000,NaN,7.40259109797501
5000,NaN,6.16911721841057
6000,NaN,5.22582103839854
