timepoint,Bac_Obs,cGlu_Obs
0,0.0133600394886629,0.00914159888484197
250,0.0256089305736853,NaN
350,NaN,6.76985758467006
450,0.0474840226217272,NaN
650,NaN,9.66814479312146
700,0.136861755383515,NaN
950,0.230019004755682,NaN
1000,NaN,7.84602119107763
1500,0.575914456063684,8.62081079758332
2000,0.862211815583455,8.32011103484234
2500,0.655645367439526,6.81108121289322
3000,0.538817107818214,NaN
3500,0.594727294481835,6.56932507437489
4000,NaN,5.91404080985578
4500,NaN,5.31270070448217
5500,NaN,7.3236442188111
6500,NaN,6.40533185873509
7500,NaN,4.49063689654672
