t,pJAK2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.210164797610566,-20.2990416801577,336.924532386947
10,NaN,80.9216280862354,646.044727954897
15,2.84604549254837,NaN,NaN
20,NaN,68.8492965050726,296.85211160994
30,3.17256293404222,NaN,NaN
35,NaN,128.343390567918,721.974768375571
40,2.78083510540973,NaN,NaN
45,NaN,191.631247029358,757.288037673511
55,NaN,224.211137268175,NaN
60,1.66162003031992,NaN,1499.29393859108
70,NaN,209.30259847066,NaN
75,2.4231016950898,NaN,1446.50622363413
85,NaN,256.255422239662,NaN
95,2.32896846984428,NaN,2631.31693186815
100,2.12853494661165,278.056707911591,2537.62745063321
150,2.26117681927509,288.605060067834,3413.08355299309
200,2.20868700546016,324.647411002009,4384.49882399504
250,2.43623928646753,347.154331787988,5108.71747832874
300,2.17673788765809,321.710128796471,5877.4462015699
