t,Rec_Obs,Rec_i_Obs,Compound_1_Obs,Compound_2_Obs
0,1.2461007124229,341.720091968494,1.64548721379086,285.703015271539
2.5,NaN,NaN,2.84381993323342,NaN
3.5,1.77256979458537,NaN,NaN,354.315942155729
4,NaN,321.943938664727,NaN,NaN
5,NaN,NaN,2.89840336642256,NaN
7.5,2.55114937069761,NaN,NaN,335.59295591634
8,NaN,313.069474505755,2.79581978715843,NaN
10,2.36265447483348,303.965698045439,2.49487355225546,335.815715345518
15,2.76006836880305,NaN,2.21986972885829,274.709729361214
20,NaN,271.74442965592,2.34241170558377,NaN
25,3.10531428970745,339.378272727268,2.66674349626708,329.068469107689
30,2.56806612060903,329.378429658297,NaN,282.220064121684
