t,pJAK2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0290634105569019,24.2931408810905,375.316011988148
10,2.48334144626012,40.2563721802388,314.42874984827
20,2.71028480257597,NaN,NaN
25,NaN,84.3866317669708,925.863729227118
35,2.62226123739482,121.886644871229,NaN
40,NaN,NaN,913.027857204708
45,2.06043706144125,NaN,NaN
50,NaN,200.021492066994,744.659608566317
60,2.10160153701934,200.132071451004,NaN
70,NaN,NaN,1763.00914252645
75,1.5790429146767,228.579761125677,NaN
85,NaN,NaN,1868.31673040732
90,1.66892656069794,NaN,NaN
95,NaN,249.935965947036,NaN
100,1.70758969589138,223.627623973949,1928.5818362545
150,1.13533652162748,270.618149679706,2939.94018034288
200,1.44935924142904,291.663833047406,3488.35232689725
250,0.929440171150315,315.369079491277,4228.74827805184
300,NaN,255.534971154468,4822.99480371338
