t,Rec_Obs,pJAK2_Obs,Compound_1_Obs,Compound_2_Obs
0,1.83794921981645,-0.169894471465707,49.8671588043638,172.112914443729
10,2.43503423501676,NaN,56.0430689457613,-127.886642993581
15,NaN,2.88215780610632,NaN,NaN
25,1.9551165617009,NaN,113.628226084798,592.993744251359
30,NaN,2.92752190964643,NaN,NaN
35,1.82305476396853,NaN,190.398080346317,669.324674592906
45,NaN,2.72897073928092,NaN,916.086041752792
50,1.96512715562355,NaN,225.038534300789,NaN
60,NaN,NaN,NaN,1374.70639090591
65,1.83464925785622,2.44125910402557,218.320200014109,NaN
75,NaN,NaN,NaN,1752.31408713385
80,1.99093722782561,2.40361750523374,222.614141471877,NaN
95,1.7241723767027,NaN,NaN,1988.63522630553
100,2.31383380600995,2.37607688259158,265.87480067728,1819.67426295331
150,1.44222725743204,2.19943017513971,293.558485843985,3512.36905841975
200,1.79845618901076,2.02157647225455,273.426443570191,4180.93528823591
250,1.68402747400388,1.84156336644762,380.682924869077,4767.98131283054
300,1.13842892087857,1.75257765498373,304.692937994376,5614.36398881733
