t,IR_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs
0,5.44675844336633,3.65075149343297e-09,1.45337168957121e-05,0.0317166092198633,10.429416968519,0.651657448248852,16.2889251375531
2,NaN,NaN,NaN,NaN,NaN,11.4921384306242,NaN
2.5,NaN,2.06052093278259e-06,NaN,NaN,11.6120018339174,NaN,NaN
3,0.0560781534951323,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.771266008328509,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,NaN,19.2735269648542
4.5,NaN,NaN,NaN,NaN,NaN,13.1562310896797,NaN
5,NaN,2.83303184395828e-06,0.000287154864634708,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,4.21201085182794,NaN,NaN
6.5,0.0472278027404509,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,4.77315271152389,NaN
7.5,NaN,1.23557977949929e-06,NaN,3.74625162436737,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,7.7762362570425,NaN,7.76937439576741
9.5,NaN,NaN,NaN,NaN,NaN,6.12238730336252,NaN
10,0.0691353074129331,9.10054867268713e-07,0.000262119702999249,5.05800048828374,3.6293216043736,NaN,NaN
15,0.0547332472337779,9.85550862645671e-07,0.00015612231581843,4.16488235383671,9.02889169187106,4.75705483723565,16.0559715726373
20,0.0582380827219932,8.49184402840055e-07,0.000130605089658914,3.15791830825927,6.39450118615027,6.34618098681187,9.74713313366009
25,NaN,1.04219347899216e-06,NaN,9.08552135501852,5.09923072695915,4.37964576420873,13.6326264759943
30,NaN,NaN,0.000132596521562632,7.83406338492135,4.51906857583832,2.57980010746036,11.9096711988961
35,NaN,8.21025904378478e-07,0.000265985610464584,NaN,NaN,2.43035226518439,NaN
40,NaN,5.62003938645296e-07,NaN,3.50428834661205,6.04452427530211,NaN,13.8006234590277
45,NaN,NaN,0.000272842262205096,NaN,NaN,NaN,15.2876626724125
50,NaN,NaN,NaN,6.82016099181738,NaN,NaN,NaN
60,NaN,NaN,0.000224042814502108,7.63464471075193,NaN,NaN,7.37291679791057
70,NaN,NaN,0.000401456705728004,9.34765068334009,NaN,NaN,9.23383156764969
