t,IRiP_Obs,IRS_Obs,IRSiP_Obs,XX_Obs
0,7.50480553756597e-06,19.0134720553229,0.391751902631336,11.1528493792097
0.45,NaN,NaN,NaN,14.9529083414529
0.95,NaN,NaN,NaN,9.21279121082884
1,NaN,3.83708079124706,4.30469833015275,NaN
1.5,0.000344405577941542,NaN,NaN,15.812588439116
2,NaN,4.32860123968213,2.84732544760396,6.2846027722534
2.5,NaN,NaN,NaN,8.9047087082299
3,0.000441698878582399,NaN,NaN,8.95701476189197
3.5,NaN,3.59118698280131,3.94675676898957,NaN
4,NaN,NaN,NaN,15.9275807882146
4.5,NaN,3.12163945411883,3.95148935393688,12.7484803156498
5,0.000463064167609667,NaN,NaN,NaN
5.5,NaN,NaN,NaN,11.6027607212744
6,NaN,5.11893974621146,10.8874832763607,NaN
7,0.000316614002008988,NaN,NaN,6.85756763827877
7.5,NaN,3.81009544922772,5.53611013073734,NaN
8,NaN,NaN,NaN,5.71970610361582
9,0.00024846427694748,8.20651669096371,5.93535356425455,NaN
10,0.000345526141120664,6.49417600313299,4.72760317455403,NaN
15,0.000251110409433911,5.90947800527424,5.78045869292326,NaN
20,0.000333931733118554,9.46570328352163,12.8673242650125,NaN
