t,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,2.12986644102588e-06,0.0324463898339142,237.608092965659,5.50450922265357e-05,1996.31926624986
60,NaN,NaN,238.576508524187,NaN,NaN
150,NaN,NaN,196.114630292125,NaN,NaN
200,NaN,NaN,204.461841801569,NaN,NaN
250,NaN,NaN,271.998386133044,NaN,NaN
300,NaN,NaN,NaN,NaN,288746.550928733
350,7.19751507008826e-05,NaN,223.018316909873,NaN,NaN
450,NaN,0.0239629953106338,226.946076619396,NaN,NaN
600,NaN,NaN,271.348409363918,0.00111515595306874,NaN
650,NaN,NaN,NaN,NaN,200509.877542656
700,4.93917034367768e-05,NaN,NaN,NaN,NaN
900,NaN,0.0213631661131993,NaN,NaN,NaN
1000,3.58344485074683e-05,NaN,NaN,0.00142902131138218,111142.282258557
1500,2.03948729184811e-05,0.029121371374483,NaN,NaN,63188.8360277835
2000,1.36523566699403e-05,0.0266571521077931,NaN,0.00154912141235326,27886.6789422837
2500,9.98840445876894e-06,0.0330821505966191,NaN,0.00145016043772663,34369.9002320384
3000,1.0847453025597e-05,0.0227298145781695,NaN,NaN,10810.0715935558
3500,5.88448755452165e-06,NaN,NaN,0.000618368892074402,NaN
4000,-3.81991476654031e-08,0.0286173262039789,NaN,NaN,-11252.5602325837
4500,NaN,0.0285126396375477,NaN,0.00063530720548921,19.5121476528589
5000,4.17969706388501e-06,NaN,NaN,NaN,NaN
5500,NaN,0.0334583240942333,NaN,0.000338394994052067,-4941.71423551635
6000,1.44355617704816e-06,NaN,NaN,NaN,NaN
6500,NaN,NaN,NaN,NaN,-4148.50369164651
7000,2.64512251185163e-06,0.0302726552357524,NaN,9.58983917762539e-05,NaN
8500,NaN,0.0337370330990754,NaN,3.00619252826142e-05,NaN
