t,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,EGF_EGFR_Obs
0,-4.1648206799771e-06,0.0330409417265436,285.086662271756,6.1553089109766e-05,-30505.3982879542
80,NaN,NaN,245.862005158628,NaN,NaN
150,NaN,NaN,203.697657688324,NaN,NaN
250,NaN,NaN,234.342884723525,NaN,853674.096224819
350,NaN,NaN,267.622006228006,NaN,NaN
450,NaN,0.0196835617385523,249.91749304677,NaN,NaN
500,0.000125866315909472,NaN,NaN,0.00236975040924332,NaN
550,NaN,NaN,251.280469464614,NaN,489419.999624351
700,NaN,NaN,214.038625695695,NaN,NaN
800,NaN,NaN,NaN,NaN,325920.271280265
850,NaN,NaN,232.185500558892,NaN,NaN
950,NaN,0.0217958874692502,NaN,NaN,NaN
1000,6.47001917554688e-05,NaN,263.108438835352,0.00328863830046625,173503.326962948
1500,2.96778983477945e-05,0.0287146854730631,156.447620590396,0.00316091727980419,60299.5883047683
2000,NaN,0.0218714969309171,NaN,0.00283536737477859,35328.0712958569
2500,8.27775142702989e-07,0.0326586955276381,NaN,0.00173390079135484,43850.7990208866
3000,1.31362337479778e-06,NaN,NaN,NaN,NaN
3500,NaN,0.0250396044643367,NaN,0.00108284074933038,NaN
4000,NaN,0.025962289999399,NaN,0.000933985776739275,NaN
5000,NaN,0.0273944562612825,NaN,0.000521289677579892,NaN
6000,NaN,0.0324785652756697,NaN,0.00017215194652143,NaN
7500,NaN,0.0276302378011747,NaN,1.66865333033255e-05,NaN
8500,NaN,0.029156375897746,NaN,0.000311712941123493,NaN
